workflowid,gsm_version,group,abbreviation,metric,numerator,denominator,outcome,model,score,data_inputs,data_filters,gsm_analysis_date
kri0001,1.2.0,Site,AE,Non-serious AE Reporting Rate,Treatment Emergent AEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.ae, rawplus.subj","Non-Serious, TreatmentEmergent",2022-11-16
kri0002,1.2.0,Site,SAE,SAE Reporting Rate,Treatment Emergent SAEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.ae, rawplus.subj","Serious, TreatmentEmergent",2022-11-16
kri0003,1.2.0,Site,PD,Non-important Protocol Deviation Rate,Non-Important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.pd, rawplus.subj",Non-Important,2022-11-16
kri0004,1.2.0,Site,IPD,Important Protocol Deviation Rate,Important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.pd, rawplus.subj",Important,2022-11-16
kri0005,1.2.0,Site,LAB,G3 or higher Lab Abnormality Rate,G3+ Abnormal Labs Samples,Total Lab Samples,Percent,Normal Approximation (Percent),Adjusted Z-Score ,"rawplus.lb, rawplus.subj","Treatment emergent, Grade >= 3",2022-11-16
kri0006,1.2.0,Site,SUB,Subject Discontinuation,Subjects Discontinued,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score ,rawplus.subj,"",2022-11-16
kri0007,1.2.0,Site,TRT,Subject Treatment Discontinuation,Subjects with Treatment Discontinued,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score , rawplus.subj,"",2022-11-16
cou0001,1.2.0,Country,AE,Non-serious AE Reporting Rate,Treatment Emergent AEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.ae, rawplus.subj","Non-Serious, TreatmentEmergent",2022-11-16
cou0002,1.2.0,Country,SAE,SAE Reporting Rate,Treatment Emergent SAEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.ae, rawplus.subj","Serious, TreatmentEmergent",2022-11-16
cou0003,1.2.0,Country,PD,Non-important Protocol Deviation Rate,Non-Important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score ,"rawplus.pd, rawplus.subj",Non-Important,2022-11-16
cou0004,1.2.0,Country,IPD,Important Protocol Deviation Rate,Important PDs,Days in Study,Rate,Normal Approximation (Percent),Adjusted Z-Score ,"rawplus.pd, rawplus.subj",Important,2022-11-16
cou0005,1.2.0,Country,LAB,G3 or higher Lab Abnormality Rate,G3+ Abnormal Labs Samples,Total Lab Samples,Percent,Normal Approximation (Percent),Adjusted Z-Score ,"rawplus.lb, rawplus.subj","Treatment emergent, Grade >= 3",2022-11-16
cou0006,1.2.0,Country,SUB,Subject Discontinuation,Subjects Discontinued,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score ,rawplus.subj,"",2022-11-16
cou0007,1.2.0,Country,TRT,Subject Treatment Discontinuation,Subjects with Treatment Discontinued,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score , rawplus.subj,"",2022-11-16
qtl0003,1.2.0,Study,IPD,Important Protocol Deviation Rate,Important PDs,Days in Study,Rate,Poisson Test,Poisson Confidence Interval - Lower Bound,"rawplus.pd, rawplus.subj",Important,2022-11-16
qtl0007,1.2.0,Study,TRT,Subject Discontinuation,Subjects Discontinued,Total Subjects,Percent,Binomial Test,Binomial Confidence Interval - Lower Bound, rawplus.subj,"",2022-11-16
